month,lemonde,lefigaro,lesechos,libé,lacroix,lemonde_percentage,lefigaro_percentage,libé_percentage,lesechos_percentage,lacroix_percentage
2021-11,57,36,47,15,15,2.631578947368421,0.9633395772009633,1.400560224089636,2.054195804195804,1.2396694214876034
2021-12,22,6,28,3,6,0.9817045961624274,0.1710863986313088,0.267379679144385,1.1532125205930808,0.46439628482972134
2022-01,30,10,14,7,4,1.400560224089636,0.2691065662002153,0.6340579710144928,0.606323083585968,0.3021148036253776
2022-02,20,12,22,1,5,0.9433962264150944,0.3283173734610123,0.09578544061302681,1.0451306413301662,0.4591368227731864
2022-03,31,12,24,9,6,1.2710127101271012,0.27926460321154295,0.7860262008733625,0.9523809523809524,0.4291845493562232
2022-04,34,16,23,13,9,1.3307240704500978,0.40619446560040623,1.1073253833049403,1.0900473933649288,0.6870229007633588
2022-05,19,20,23,7,12,0.8524001794526694,0.5185377236193933,0.5998286203941731,1.0337078651685392,0.9188361408882083
2022-06,42,18,32,14,7,1.6574585635359116,0.46511627906976744,1.2669683257918551,1.3787160706591985,0.5339435545385203
2022-07,34,19,18,20,6,1.771756122980719,0.6207121855602744,1.762114537444934,0.9803921568627451,0.5190311418685121
2022-08,39,19,16,21,10,2.498398462524023,0.6504621704895585,1.8650088809946712,0.886426592797784,0.9319664492078285
2022-09,50,16,25,23,8,2.141327623126338,0.4163413999479573,2.062780269058296,1.035625517812759,0.586940572267058
2022-10,36,21,16,17,9,1.5457277801631601,0.5401234567901234,1.3900245298446443,0.6944444444444444,0.7211538461538461
2022-11,68,41,47,25,21,3.102189781021898,1.119606772255598,2.234137622877569,2.0824102791315906,1.7045454545454544
2022-12,26,15,22,17,10,1.2506012506012507,0.4320276497695853,1.313755795981453,0.9995456610631531,0.7722007722007722
