,date,publication,words,author,title,intro
75,2017-05-15,Libération,900mots,Jean Quatremer,Europe : Macron doit encore séduire Bruxelles et Berlin,"    ...  des frontières extérieures, défense, euro, convergence sociale et fiscale, numérique et lutte contre le changement  climatique... Plaidoyer «La base de sa politique européenne reste le discours prononcé à l'université Humboldt de ...  "
76,2017-05-02,Libération,1274mots,Patrice Maniglier,"Divisée, la gauche meurt, rassemblée, elle vit et pèse","    ...  soit étendu à l'ensemble des êtres humains. Or, la démographie explose et le réchauffement  climatique risque de rendre les ressources naturelles plus rares. Comme Machiavel le remarquait, les grands livrés à ...  "
77,2017-08-12,Libération,532mots,Margaux Lacroux,"Christian Buchet : «En dépit des apparences, le sable est une ressource rare»","    ...  montée des eaux, l'érosion marine, est l'un des enjeux majeurs liés au réchauffement  climatique. Or la prise de conscience est récente. Demain, quand nous voudrons lutter contre ce phénomène d ...  "
78,2017-07-29,Libération,504mots,Elsa Maudet,Pourquoi la mer sent-elle la mer ?,"    ...  vatelle arrêter de sentir la mer dans quelques années, à cause du réchauffement  climatique ? Pour que certaines espèces de phytoplanctons puissent vivre (et mourir) correctement, il faut que l'eau ...  "
79,2017-05-13,Libération,728mots,Frédérique Roussel,«Hamlet» in utero,"    ...  tableau pessimiste du monde, un monde puéril face aux catastrophes à venir comme le changement  climatique, les robots voleurs d'emplois, le  «socialisme déshonoré, comme le capitalisme corrompu et destructeur» . Le tiers ...  "
80,2017-07-06,Libération,76mots,,"Pour les tortues, c'est la mer à boire","        ...  a augmenté ces dixhuit dernières années, les efforts pourraient être réduits à néant à cause du réchauffement  climatique, selon une étude publiée par la fondation Chelonia. Photo Christophe Migeon. Biosphoto  ...  "
81,2017-07-08,Libération,768mots,Nathalie Versieux,"A la Rote Flora, les Black Blocs d'Europe à bon port","    ...  le monde sont responsables de situations terribles comme la faim, la guerre et le désastre  climatique.» Blechschmidt fuit généralement la presse. Depuis des mois, la Rote Flora vit sous haute surveillance policière ...  "
82,2017-08-02,Libération,1493mots,Bernadette Sauvaget,"François, un pape actif sous tous les cieux","    ... «globalisation de l'indifférence» . Les périphéries «bergogliennes», ce sont les migrants, les victimes du changement  climatique, les pauvres broyés par la financiarisation de l'économie... et les petits pays, qu'il visite ...  "
83,2017-08-21,Libération,557mots,Matthieu Ecoiffier,"Didier Lestrade, président d'Act Up de 1989 à 1992 : «Nos années de travail n'ont pas été récompensées»","    ... Aujourd'hui, seule l'association basque Bizi, qui lutte contre le réchauffement  climatique, reprend les codes d'action d'Act Up. Trente ans après, ce sont des hétéros écolos basques qui prennent ...  "
84,2017-08-19,Libération,616mots,Clémentine Mercier,"«Le Rêve des formes», la 3D aux quatre vents","    ...  Ensemble, ils ont imaginé ces insectes figurant les débats de la tweetosphère sur le changement  climatique. Organismes vivants connectés, ils s'autogénèrent en temps réel : naissent, se multiplient et meurent dans les ...  "
85,2017-05-06,Libération,678mots,Didier Péron|Julien Gester,Rayée des tablettes,"    Marine Le Pen peut remercier le réchauffement  climatique : sans lui, jamais sans doute n'auraitelle pu espérer croiser en plein mois de novembre un étalon en si petite tenue. Car, avant ...  "
86,2017-06-16,Libération,732mots,Michaël Foessel,Un espion peut-il renverser un président ?,"    ...  avec les milieux d'affaires et une indifférence crasse à l'égard de la crise  climatique. Bref, Trump a d'ores et déjà mérité de figurer au palmarès des repoussoirs pour tous ...  "
87,2017-07-07,Libération,272mots,Lionel Charrier,Narration,"    ...  aller chez le coiffeur et choisir sa coupe de cheveux. De la guerre au réchauffement  climatique, de l'enquête photographique au récit intime et familial, ce nouveau numéro spécial photo, réalisé à ...  "
88,2017-06-21,Libération,68mots,Margaux Lacroux,Transpi,"    ... ce une canicule ? Estelle une conséquence directe de notre inconséquence environnementale ? Spoiler :  «Sans politique  climatique, il y aura de plus en plus d'épisodes de chaleur en juin. D'ici la ...  "
89,2017-08-14,Libération,302mots,Alexandra Schwartzbrod,Sécession,    ...  deuxième guerre de Sécession (l'intrigue se déroule en 2075) sont davantage liés au réchauffement  climatique mais ils portent en germe cette fracture fratricide dont on a eu ce weekend un ...  
90,2017-08-21,Libération,869mots,Florian Bardou,Que reste-t-il d'Act Up ?,"    ...  reconnaissables.» «On est en phase avec ce que faisait Act Up car face au défi  climatique, il y a une urgence à agir, souligne Txetx Etcheverry, cofondateur du mouvement écologiste Bizi !, très ...  "
91,2017-05-22,Libération,1528mots,,Se mobiliser aujourd'hui pour réinventer la gauche demain,"        ...  recherche, aux énergies renouvelables, aux transports du futur, aux outils de lutte contre le changement  climatique. Le troisième est d'affirmer le rôle des territoires dans la mise en oeuvre de ces ...  "
92,2017-05-18,Libération,776mots,Christian Losson|Coralie Schaub,Un aventurier vert chez les pro-nucléaire,"    ...  qui permettrait de dégager 22 milliards par an, dont une partie destinée à la lutte  climatique dans les pays du Sud. Trophée. Atil par ailleurs obtenu l'abandon de Notre ...  "
93,2017-06-03,Libération,150mots,Dylan Gamba,L'Inde fait le choix de l'Europe,"    ...  à charbon et l'un des pays les plus touchés par les conséquences du réchauffement  climatique. Le souscontinent connaît régulièrement des records de température et si rien n'est fait, 14 ...  "
94,2017-08-25,Libération,124mots,Camille Gévaudan,Planète Les photos viennent de Venµs,"    ...  végétation, l'irrigation des cultures, le mouvement des glaciers et autres phénomènes liés au changement  climatique. Mais les régions photographiées sont souvent couvertes de nuages ou d'aérosols (poussières, pollution...) qui cachent ...  "
95,2017-06-01,Libération,398mots,Sonia Delesalle-Stolper,Brexit : les Britanniques pris à leur propre piège,"    ...  tentatives britanniques de modifier des propositions de l'UE sur la lutte contre le dérèglement  climatique, pour ménager Trump, n'y soient pour quelque chose.  The Independent  a révélé ces informations en ...  "
96,2017-07-01,Libération,878mots,Didier Péron|Julien Gester,L'icône glacée,"    ...  République pour cinq ans, fabrique pour la postérité, sinon l'éternité (en attendant l'apocalypse  climatique), le hiéroglyphe d'un quinquennat dont il s'agit d'imprimer le ton. La photo, signée ...  "
97,2017-07-15,Libération,104mots,,Diplomatie Macron tactile et tactique avec Trump,"        ...  Rien ne nous séparera jamais»,  s'est enflammé le président français. Pas même le révisionnisme  climatique de Trump, qui a promis que  «quelque chose pourrait se passer» sur l'accord de Paris ...  "
98,2017-06-22,Libération,747mots,Stéphane Le Foll,Le PS doit retrouver son humanité,    ...  soient trouvés. Le quatrième grand engagement sera celui de l'écologie. Les menaces du réchauffement  climatique sont malheureusement une réalité concrète à l'échelle planétaire. C'est d'autant plus important que ...  
99,2017-08-02,Libération,758mots,Estelle Pattée,Jour du dépassement «La croissance verte réunit écologie et emploi»,"    ...  En quoi estelle une solution à la crise ? Dans un rapport sur le changement  climatique en 2006, Nicholas Stern  [ancien viceprésident de la Banque mondiale, ndlr] évaluait à 20 % du ...  "
100,2017-07-20,Libération,256mots,Thierry Thirault,"Japon : au Nord, c'était les coraux","    ...  épargnés par le blanchissement, sont à leur tour touchés par ce phénomène lié au réchauffement  climatique, selon les conclusions d'un chercheur japonais. Avec son équipe, Hiroya Yamano a observé en décembre ...  "
101,2017-08-04,Libération,558mots,Lilian Alemagna|Laure Bretton,Six dossiers et quelques volte-face,"    ...  sur les transactions financières (TTF) pour financer le développement et la lutte contre le changement  climatique. Mais juste avant les législatives, pour rassurer et séduire à gauche, le chef de l'Etat ...  "
102,2017-07-18,Libération,1000mots,Philippe Reigné,"Le propre de l'homme, le penseur et les lapins","    ...  Fukushima ont mis fin à nos illusions. Il semble, d'ailleurs, sur fond de réchauffement  climatique, que nous ne maîtrisions à peu près rien. Le propre de l'homme doit, en outre ...  "
103,2017-07-29,Libération,848mots,Mathieu Lindon,"Poutine, le procès de Moscou",    ...  et sèches comme tous les Russes ? A Feodor Feodorovitch la charge d'accélérer le réchauffement  climatique dans ces contrées où on n'en a pas encore assez vu la couleur. Je lui ...  
104,2017-08-26,Libération,3128mots,Anne Diatkine,"Catherine Deneuve avec Perrine et Charles Hervé-Gruyer : «C'est si vivant et ancré dans le réel, un jardin !»","    ...  puits de carbone. C'est loin d'être négligeable à un moment où le changement  climatique devient la principale menace qui pèse sur l'humanité. Chaque année, on crée un à deux ...  "
105,2017-06-23,Libération,136mots,Coralie Schaub,"Henri Clément : «30 % de mortalité des abeilles, c'est ahurissant, quelle filière agricole accepterait cela ?»","    ...  connaît : les pesticides, l'environnement qui se dégrade, les maladies, le frelon asiatique, etc. Mais à tout ce cortège de méfaits s'ajoutent depuis quelques années les effets du bouleversement  climatique.»  ...  "
106,2017-07-12,Libération,741mots,Paul Quilès,Et si la prochaine cyberattaque ciblait un site nucléaire ?,"    Terrorisme, réchauffement  climatique, épidémies, flux migratoires et, depuis quelques jours, cyberattaques : ces menaces, présentées comme  nouvelles, font de plus en plus souvent la une des médias et suscitent une forte émotion dans ...  "
107,2017-07-17,Libération,405mots,Johanna Luyssen,"Inavouables. J'ose aimer... le surimi, j'ose détester... les cyclistes à Paris","    ... 'on s'en agace  après tout, ils sont là pour nous sauver de la crise  climatique. Ceux qui vous foncent dessus à contresens dans la rue parce qu'ils en ont le ...  "
108,2017-08-31,Libération,1383mots,Coralie Schaub,"A la ferme bio, Hulot met les formes","    ...  avez un captage ?» La ferme dispose de deux puits qui suffisent, même si le changement  climatique commence à compliquer la donne.  «Avec combien d'Amap travaillezvous ?»  Quatre.  «Se passer des intrants ...  "
109,2017-08-21,Libération,594mots,Constantin von BARLOEWEN,Le show du café froid,"    ...  guère envie de se passer de son shot de caféine. Las, en dépit du réchauffement  climatique, du bitume en ébullition quand la canicule s'installe, la tradition du café froid n'a ...  "
